TF	n_activating	n_repressing	n_targets	dominant_sign
ELF1	76	7	79	activator
ELF2	11	0	11	activator
ELF3	30	5	33	activator
ELF4	48	8	50	activator
ELF5	10	2	11	activator
ELK1	56	8	61	activator
ELK3	23	10	28	activator
ELK4	6	0	6	activator
EMX1	2	0	2	activator
EMX2	6	5	9	activator
EN1	8	6	11	activator
EN2	2	1	3	activator
ENO1	17	4	19	activator
EOMES	24	4	26	activator
EP300	69	15	74	activator
EPAS1	89	12	92	activator
ERF	13	7	18	activator
ERG	51	14	58	activator
ESR1	598	136	630	activator
ESR2	186	51	207	activator
ESRRA	42	9	48	activator
ESRRB	10	3	11	activator
ESRRG	22	6	25	activator
ESX1	0	1	1	repressor
ETS1	225	28	231	activator
ETS2	108	9	111	activator
ETV1	23	3	22	activator
ETV2	8	0	8	activator
ETV3	0	11	11	repressor
ETV4	62	6	66	activator
ETV5	20	3	23	activator
ETV6	16	17	27	repressor
ETV7	12	2	14	activator
EVX1	2	1	3	activator
EVX2	2	0	2	activator
EWSR1	53	16	58	activator
EZH2	126	106	156	activator
